2024-06-04 15:15:47,714 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-06-04 15:15:47,715 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Configure stats pid to 7360
2024-06-04 15:15:47,715 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Loading settings from C:\Users\kelle\.config\wandb\settings
2024-06-04 15:15:47,715 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Loading settings from d:\Gov school Code\Salamander Classification\wandb\settings
2024-06-04 15:15:47,715 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-04 15:15:47,715 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-06-04 15:15:47,716 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-04 15:15:47,716 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-06-04 15:15:47,716 INFO    MainThread:7360 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-04 15:15:47,717 INFO    MainThread:7360 [wandb_init.py:_log_setup():520] Logging user logs to d:\Gov school Code\Salamander Classification\wandb\run-20240604_151546-pdztkt9f\logs\debug.log
2024-06-04 15:15:47,717 INFO    MainThread:7360 [wandb_init.py:_log_setup():521] Logging internal logs to d:\Gov school Code\Salamander Classification\wandb\run-20240604_151546-pdztkt9f\logs\debug-internal.log
2024-06-04 15:15:47,717 INFO    MainThread:7360 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001E6D0F374D0>
2024-06-04 15:15:47,718 INFO    MainThread:7360 [wandb_init.py:init():560] calling init triggers
2024-06-04 15:15:47,718 INFO    MainThread:7360 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'layer_1': 512, 'activation_1': 'relu', 'dropout': 0.5602164268542855, 'layer_2': 10, 'activation_2': 'softmax', 'optimizer': 'sgd', 'loss': 'sparse_categorical_crossentropy', 'metric': 'accuracy', 'epoch': 8, 'batch_size': 256}
2024-06-04 15:15:47,718 INFO    MainThread:7360 [wandb_init.py:init():610] starting backend
2024-06-04 15:15:47,718 INFO    MainThread:7360 [wandb_init.py:init():614] setting up manager
2024-06-04 15:15:47,726 INFO    MainThread:7360 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-06-04 15:15:47,754 INFO    MainThread:7360 [wandb_init.py:init():622] backend started and connected
2024-06-04 15:15:47,769 INFO    MainThread:7360 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-06-04 15:15:47,771 INFO    MainThread:7360 [wandb_run.py:_label_probe_notebook():1338] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-06-04 15:15:47,771 INFO    MainThread:7360 [wandb_init.py:init():711] updated telemetry
2024-06-04 15:15:47,772 INFO    MainThread:7360 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-04 15:15:48,971 INFO    MainThread:7360 [wandb_run.py:_on_init():2396] communicating current version
2024-06-04 15:15:49,745 INFO    MainThread:7360 [wandb_run.py:_on_init():2405] got version response 
2024-06-04 15:15:49,745 INFO    MainThread:7360 [wandb_init.py:init():795] starting run threads in backend
2024-06-04 15:15:51,449 INFO    MainThread:7360 [wandb_run.py:_console_start():2374] atexit reg
2024-06-04 15:15:51,449 INFO    MainThread:7360 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-06-04 15:15:51,450 INFO    MainThread:7360 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-06-04 15:15:51,450 INFO    MainThread:7360 [wandb_run.py:_redirect():2319] Redirects installed.
2024-06-04 15:15:51,466 INFO    MainThread:7360 [wandb_init.py:init():838] run started, returning control to user process
2024-06-04 15:16:15,697 INFO    MainThread:7360 [wandb_run.py:_finish():2103] finishing run kelley-coop/Salamander Classification/pdztkt9f
2024-06-04 15:16:15,697 INFO    MainThread:7360 [jupyter.py:save_history():445] not saving jupyter history
2024-06-04 15:16:15,697 INFO    MainThread:7360 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-06-04 15:16:15,697 INFO    MainThread:7360 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-06-04 15:16:15,697 INFO    MainThread:7360 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-06-04 15:16:15,698 INFO    MainThread:7360 [wandb_run.py:_restore():2326] restore
2024-06-04 15:16:15,698 INFO    MainThread:7360 [wandb_run.py:_restore():2332] restore done
2024-06-04 15:22:36,411 INFO    MainThread:7360 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-06-04 15:22:36,413 INFO    MainThread:7360 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-06-04 15:22:36,445 INFO    MainThread:7360 [wandb_run.py:_footer_sync_info():3953] logging synced files
